age,is_corporate,total_balance,has_active_loan,recent_tx_count,target
58,0,41920558,0,0,1
71,0,33657453,0,2,1
48,0,23858375,1,36,1
34,0,75497681,0,6,1
62,0,75719543,1,2,1
27,0,54138275,0,35,0
40,0,66044057,0,48,0
58,0,97627488,0,2,1
77,0,44401924,0,3,1
38,0,47516748,0,30,0
42,0,72581888,1,1,1
30,0,95282134,0,13,1
30,0,99882471,1,36,1
43,0,216194,0,30,0
72,0,69562946,0,1,1
55,0,73583331,1,30,1
59,0,90851490,0,46,1
43,0,58727655,0,42,0
22,0,89643202,1,21,1
41,0,77693286,0,9,1
72,0,95716177,0,29,1
21,0,56463786,1,32,0
43,0,1034023,0,18,0
63,1,30156188,1,45,2
49,0,42336585,0,24,1
57,0,84186843,0,45,0
21,0,26221432,0,0,0
79,0,70958046,0,31,1
40,0,28611730,0,24,0
52,0,32084226,1,40,1
31,1,85450538,0,16,2
77,0,7919584,0,13,1
41,0,93941672,0,44,0
63,0,35132018,0,12,1
44,0,4474220,0,37,0
68,0,8736857,0,38,1
46,0,96903887,0,1,1
78,0,986275,0,31,1
61,0,62919136,0,31,1
47,0,26780164,0,39,0
79,0,3394020,0,5,1
35,0,9860685,0,24,0
34,0,84696666,0,2,1
66,0,49562381,1,17,1
70,0,31471719,1,49,1
63,0,76926403,0,37,1
74,1,62434790,0,42,2
71,0,98489006,1,2,1
76,0,28026421,0,47,0
22,0,51680131,0,4,0
56,0,46253533,0,23,1
70,0,26324690,0,33,0
26,0,68090462,0,46,0
40,0,9348148,0,47,0
28,0,60941388,0,38,0
58,0,98793165,0,47,1
37,0,78685499,1,23,1
23,0,41974581,0,35,0
44,0,83173193,0,27,0
79,0,42418799,0,47,1
33,0,71432356,0,48,0
69,0,84094230,0,33,1
77,1,19350554,0,15,2
28,1,33322053,0,35,2
45,0,68967641,0,6,1
72,1,73619393,0,17,2
21,0,84366700,0,5,1
39,1,63459004,0,49,2
47,0,72044364,0,27,1
66,0,97961265,0,38,1
79,0,4863099,0,33,1
26,0,90879232,0,40,0
63,0,22973735,0,28,1
27,0,68231071,0,3,1
66,0,19468143,0,13,1
54,0,94857665,1,4,1
33,0,63224359,1,24,1
36,0,10204207,0,38,0
55,0,65731254,0,7,1
69,0,78694986,0,14,1
59,0,86051536,0,18,1
23,0,47831146,0,10,1
21,0,69261123,0,19,1
25,1,94893898,0,35,2
73,0,3390919,0,17,1
61,0,43648136,0,13,1
23,0,38009669,0,37,0
73,0,5871348,0,24,0
48,0,35933652,0,15,1
37,0,70627929,0,17,1
45,0,90846778,0,0,1
63,0,35338642,0,39,0
53,0,38752795,0,0,1
29,0,74449991,0,0,1
55,1,69572365,0,20,2
33,0,26910743,0,24,0
50,0,42971759,0,26,1
67,0,77084459,0,9,1
34,0,32992740,0,49,0
27,0,36373559,1,11,0
33,0,73888729,0,27,0
42,0,85818999,0,48,0
79,0,90136754,0,31,1
76,0,10254769,1,32,1
59,0,24397736,0,7,1
40,0,31163841,0,41,0
35,0,64525080,0,25,1
64,0,65213299,1,41,1
37,0,98302443,0,49,0
66,0,58983612,0,40,1
72,0,91870785,0,1,1
43,1,65151785,0,34,2
45,0,26293184,1,33,1
44,0,15565219,0,5,1
79,0,8731896,0,30,1
79,1,35556939,1,22,2
79,0,2652808,1,11,1
64,1,12260515,0,27,2
60,1,13692648,0,14,2
48,0,61498622,1,18,1
34,1,82061787,0,11,2
64,0,83312421,1,49,1
20,0,10877097,1,47,0
44,0,57698477,0,1,1
26,0,51689941,1,10,1
28,0,28850620,0,43,0
43,0,38310929,0,36,0
20,1,72242245,0,37,2
63,0,38402675,1,24,1
27,0,62423631,0,42,0
43,1,86311438,0,20,2
30,1,79240879,1,41,2
70,1,63014156,0,35,2
36,0,71026294,0,8,1
27,1,98532348,1,11,2
54,0,13628984,0,9,1
54,0,59394758,1,45,1
52,0,5544223,1,4,1
78,0,28694421,0,32,0
24,0,12992054,0,4,0
61,0,39497144,0,15,1
58,0,98920204,0,36,1
77,0,1171758,0,36,1
60,0,16702269,0,28,0
47,0,5276085,0,17,0
26,0,91335196,0,28,0
28,0,60847125,0,5,1
27,0,74294044,0,17,0
31,0,51274287,0,31,0
53,1,75132420,0,41,2
52,0,93266681,0,46,1
67,0,47486626,0,30,1
74,0,23876708,0,10,1
42,0,94723654,1,25,1
43,0,95771298,0,27,1
56,0,78247052,0,26,1
54,0,77316673,0,18,1
63,0,32092869,0,44,0
59,0,30261475,0,26,1
41,0,18057496,0,19,1
46,0,57789099,0,2,1
54,0,55878459,0,15,1
20,0,23904686,1,38,0
54,0,31138855,0,43,0
56,1,53181958,0,28,2
66,1,87901869,1,14,1
33,0,37282093,0,29,0
22,0,77173845,0,39,0
20,0,1279372,0,48,0
24,0,97284628,0,0,1
45,0,81281792,0,28,1
74,1,72875898,0,29,2
33,1,75945874,0,39,2
58,0,58434940,0,45,1
46,0,2449851,0,31,0
28,0,73616416,0,9,1
34,0,97227011,0,26,1
34,0,42224873,0,7,0
45,0,35996979,0,35,0
61,0,68345832,0,41,1
79,0,3078882,0,34,1
32,0,94034715,0,35,0
70,1,51852741,0,47,2
51,0,35542454,0,35,0
58,0,63696235,0,24,1
68,0,57868029,0,19,1
71,0,83149280,0,44,0
51,0,28218511,0,16,0
23,0,83382270,0,22,1
49,0,70302660,0,24,1
56,0,75591080,0,47,0
42,1,61377257,1,48,2
58,0,11668300,0,30,0
64,0,25134254,0,5,1
34,0,92561227,1,34,1
62,0,26757444,0,3,1
48,0,56870756,0,39,0
55,0,94328478,0,19,1
32,0,3049307,0,40,0
51,0,46465821,0,0,1
26,1,27729937,0,44,2
