age,is_corporate,total_balance,has_active_loan,recent_tx_count,product_name
58,0,78934488,0,28,BankScope 시니어 플러스 예금
71,1,3858414,0,27,BankScope 법인 시설자금 대출
48,0,49622364,0,22,BankScope 복리 자산 예금
34,0,60574571,1,29,BankScope 복리 자산 예금
62,1,79056039,0,22,BankScope 법인 단기 예금
27,0,80158757,0,40,Scope 청년 드림 적금
40,0,91810,0,21,Scope 재테크 챌린지 적금
58,1,97358294,0,42,BankScope 법인 시설자금 대출
77,0,14512058,0,11,Scope 비상금 소액 대출
38,0,72521193,0,26,BankScope 복리 자산 예금
42,0,4639885,0,39,Scope 재테크 챌린지 적금
30,0,85300212,0,45,Scope 긴급 생활안정 대출
30,0,91522807,0,48,Scope 청년 드림 적금
43,0,95201198,1,14,BankScope 복리 자산 예금
72,1,86073446,1,46,BankScope 법인 시설자금 대출
55,0,46487238,0,22,BankScope 시니어 플러스 예금
59,0,7378631,0,43,Scope 비상금 소액 대출
43,0,23298089,1,40,BankScope 복리 자산 예금
22,0,38382514,0,43,Scope 청년 드림 적금
41,0,13986962,0,18,Scope 비상금 소액 대출
72,1,56552366,1,43,BankScope 법인 단기 예금
21,0,52129984,0,10,Scope 긴급 생활안정 대출
43,0,69840169,0,37,BankScope 복리 자산 예금
63,0,85443621,0,39,BankScope 시니어 플러스 예금
49,0,57600501,1,42,Scope 재테크 챌린지 적금
57,0,82486924,0,2,BankScope 시니어 플러스 예금
21,0,54988393,1,15,BankScope 복리 자산 예금
79,0,51289515,0,31,BankScope 시니어 플러스 예금
40,1,64150167,0,37,BankScope 법인 단기 예금
52,0,27212127,0,8,BankScope 복리 자산 예금
31,0,44781469,0,40,Scope 청년 드림 적금
77,0,65241413,0,37,BankScope 시니어 플러스 예금
41,0,3103781,0,4,BankScope 직장인 우대 적금
63,0,16909408,1,0,BankScope 직장인 신용 대출
44,0,89172598,0,34,Scope 재테크 챌린지 적금
68,0,1218710,0,34,Scope 재테크 챌린지 적금
46,0,55532600,0,11,BankScope 복리 자산 예금
78,0,28326765,0,35,Scope 재테크 챌린지 적금
61,0,8118606,0,20,Scope 재테크 챌린지 적금
47,0,52149499,0,47,Scope 재테크 챌린지 적금
79,0,40187798,1,42,BankScope 직장인 신용 대출
35,0,77285367,0,7,BankScope 복리 자산 예금
34,0,75121443,0,26,BankScope 복리 자산 예금
66,0,48899896,0,8,BankScope 시니어 플러스 예금
70,0,40567550,0,27,BankScope 시니어 플러스 예금
63,0,85488893,0,29,Scope 긴급 생활안정 대출
74,0,78361984,0,13,BankScope 시니어 플러스 예금
